Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Has the team size grown,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Co-founders,Number of of advisors,Team size all employees,Number of  Sales Support material,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Focus on private or public data?,Local or global player,Machine Learning based business,Average Years of experience for founder and co founder,Highest education,Years of education,Specialization of highest education,Skills score,Employee benefits and salary structures,Company awards,Client Reputation,Number of Direct competitors,Last round of funding received (in milionUSD)
Company1,Success,No Info,No Info,-1,Video distribution,,operation,KPCB Holdings|Draper Fisher Jurvetson (DFJ)|Kleiner Perkins Caufield & Byers|AT&T|Blueprint Ventures|Cisco|Zone Ventures,3,No,5/26/2013,450000,United States,North America,2,1,2,15,Nothing,No,No,No,Service,Private,Global,No,High,Masters,21,business,0,No Info,No,No Info,0,0.45
Company2,Success,2011,3,125,,Market Research|Marketing|Crowdfunding,"Marketing, sales",,,No,,,United States,North America,5,2,0,20,medium,Yes,No,No,Product,Public,Local,Yes,High,Masters,21, Supply Chain Management & Entrepreneurship,34,No Info,No,Medium,0,5
Company3,Success,2011,3,455,Event Data Analytics API,Analytics|Cloud Computing|Software Development,operations,TechStars|Streamlined Ventures|Amplify Partners|Rincon Venture Partners|Pelion Venture Partners|500 Startups|Loren Siebert|Jason Seats|XG Ventures|George Karidis|Sam Choi|Morris Wheeler|Data Collective|Pejman Nozad|Ullas Naik|Dirk Elmendorf|Galvanize|Pat Matthews|Paul Kedrosky|Matt Ocko|Cloud Power Capital|Jared Kopf|Anne Johnson|Issac Roth|George Karutz|Jim Deters|Zachary Aarons|Zack Bogue,14,No,10/23/2013,2350000,United States,North America,15,3,0,10,low,No,No,No,Both,Private,Local,No,Medium,Bachelors,18,General,36,No Info,No,Low,0,2.35
Company4,Success,2009,5,-99,The most advanced analytics for mobile,Mobile|Analytics,Marketing & Sales,Michael Birch|Max Levchin|Sequoia Capital|Keith Rabois|Andreessen Horowitz|Marc Benioff|David Sacks|Y Combinator|Voyager Capital,45,No,05/10/2012,10250000,United States,North America,6,2,0,50,low,Yes,No,No,Product,Public,Local,No,Medium,Bachelors,18,Computer Systems Engineering,15.5,Good,No,Low,2,10.25
Company5,Success,2010,4,496,The Location-Based Marketing Platform,Analytics|Marketing|Enterprise Software,Marketing & Sales,DFJ Frontier|Draper Nexus Ventures|Gil Elbaz|Auren Hoffman|Walter Kortschak|MI Ventures|Brand Ventures|Daher Capital|Double M Partners|Gold Hill Capital|Clark Landry|Draper Associates|MI Ventures LLC|Signia Venture Partners,39,No,12/11/2013,5500000,United States,North America,7,1,1,40,high,No,No,No,Product,Public,Local,No,High,Bachelors,18, Industrial Engineering and Computer Science,23,Bad,No,Low,0,5.5
Company6,Success,2010,4,106,big data for foodservice,Food & Beverages|Hospitality,analytics,Pritzker Group Venture Capital|Excelerate Labs|Hyde Park Venture Partners|Chicago Ventures|Amicus Capital|IDEO|Olive Ventures|KD Capital L.L.C,14,No,9/17/2013,1000000,United States,North America,2,4,0,14,medium,No,No,No,Service,Public,Local,No,High,Masters,21,Political Science,25,Good,Yes,High,0,1
Company7,Success,2011,3,39,,Analytics,Research,Plug & Play Ventures|Correlation Ventures|Crosslink Capital|Roham Gharegozlou|Start Capital|Naguib Sawiris|Pejman Nozad|Streamlined Ventures,7,No,09/03/2013,2000000,United States,North America,7,2,9,15,medium,Yes,No,No,Both,Public,Local,No,High,PhD,25,Electrical Eng,21,No Info,No,Low,0,2
Company8,Success,2010,4,139,,Cloud Computing|Network / Hosting / Infrastructure,Computing,Norwest Venture Partners|Bessemer Venture Partners|Atlas Venture,29,No,11/08/2012,6700000,United States,North America,0,3,4,40,medium,Yes,No,No,Both,Private,Local,No,High,Masters,21,Business management,4.5,Bad,No,Low,0,6.7
Company9,Success,2011,3,306,Engagement Engine,Analytics|Mobile|Marketing,Marketing,Promus Ventures|SoftTech VC|Costanoa Venture Capital|Lee Linden|Chamath Palihapitiya|Raj De Datta|Tim Kendall|Omar Siddiqui|David Vivero|Sequoia Capital,16,No,2/26/2014,11000000,United States,North America,13,2,0,50,medium,Yes,No,No,Product,Public,Local,No,High,Masters,21,Business management,48,No Info,No,Low,0,11
Company10,Success,2013,1,53,Big data for clinical insight,Healthcare|Pharmaceuticals|Analytics,Research,Khosla Ventures,3,No,10/24/2013,3000000,United States,North America,0,3,4,3,Nothing,Yes,No,No,Product,Public,Global,No,High,PhD,25,Biomedical Informatics ,25.5,No Info,No,Low,0,3
Company11,Success,2011,3,762,Business Analytics,Analytics|Enterprise Software,"Sales, marketing",Redpoint Ventures|First Round Capital|PivotNorth Capital,34,No,8/13/2013,16000000,United States,North America,0,2,1,50,medium,Yes,No,No,Both,Public,Global,No,High,Bachelors,18,Geology,14.5,No Info,No,High,4,16
Company12,Success,2010,4,140,,,operations,.406 Ventures|fidelity growth partners global|Fidelity Growth Partners Europe,31,No,6/27/2012,6300000,United States,North America,0,0,1,50,medium,Yes,No,No,Product,Private,Global,No,High,Masters,21, Visual Studies,12,No Info,No,Low,0,6.3
Company13,Success,2010,4,115,Human insight at machine scale,Media|Finance|Marketing,"Marketing 
sales",Battery Ventures|In-Q-Tel|Jump Capital|SAP Ventures|Northwestern University,47,No,09/10/2013,11500000,United States,North America,0,0,1,50,high,Yes,No,Yes,Product,Private,Local,No,High,Bachelors,18,Law,0,Good,Yes,Low,0,11.5
Company14,Success,2008,6,277,Analytics for the Music Industry,Music|Analytics,Technology,Foundry Group|SoftTech VC|Troy Henikoff|David Cohen|Alsop Louie Partners|David Cancel|IA Ventures|TechStars|Techstars,22,No,01/03/2012,6500000,United States,North America,0,3,0,22,low,No,Yes,Yes,Product,Public,Global,No,Medium,Bachelors,18,"Learning and Organizational Change
Computer Science",20.5,No Info,No,Low,0,6.5
Company15,Success,2010,4,242,Advanced predictive analytics,E-Commerce|Gaming|Analytics,"marketing, sales",Harvard Business School Angels|Tech Coast Angels,13,No,11/11/2013,2800000,United States,North America,0,2,0,50,high,No,No,No,Product,Public,Local,Yes,High,PhD,25,Communication,22.5,No Info,No,Low,0,2.8
Company16,Success,2008,6,533,Healthcare Data,Healthcare|Analytics,Data Management,Norwest Venture Partners|Sequoia Capital|Sorenson Capital|Kaiser Permanente Ventures|CHV Capital,129,Yes,1/27/2014,41000000,United States,North America,0,2,0,200,high,No,No,No,Both,Public,Global,No,High,Masters,21,Business management,21,Bad,Yes,High,0,41
Company17,Success,2010,4,-81,Big Data Analytics,Analytics,Marketing,Hummer Winblad Venture Partners|US Venture Partners|Presidio Ventures|Mohr Davidow Ventures,23,No,12/14/2012,3499999,United States,North America,0,1,0,50,high,No,No,No,Product,Public,Local,No,High,Masters,21,Computer Science,12,Good,No,Low,0,3.499999
Company18,Success,2009,5,471,Marketing Intelligence Platform,Marketing,Marketing & Sales,Sequoia Capital|Giza Venture Capital|Adams Street Partners,52,No,10/17/2013,10000000,United States,North America,0,3,0,50,low,No,No,No,Both,Both,Global,Yes,High,Masters,21,Communication,4.5,Good,No,High,0,10
